date,crise financeira,crise econômica,pânico financeiro,colapso econômico,crash bolsa,queda ibovespa,volatilidade bolsa,bear market brasil,fuga capitais,bolsa despenca,risco default brasil,rebaixamento rating brasil,dívida pública brasil,recessão brasil,desemprego brasil,desvalorização real,dólar dispara,crise bancária,corrida bancária,alta juros brasil,investir agora,vender ações,mercado vai cair,proteção carteira,como proteger investimentos
2022-08-01,3,8,0,0,1,6,0,0,4,0,0,0,1,1,48,22,0,0,0,6,12,54,4,9,0
2022-09-01,2,9,0,0,0,38,0,0,5,0,0,0,1,1,46,21,0,7,0,8,16,50,3,10,2
2022-10-01,3,8,0,0,0,15,0,0,0,7,0,0,2,2,100,34,0,0,0,7,11,42,3,6,2
2022-11-01,3,9,0,0,0,53,0,0,4,29,0,0,3,1,33,25,11,0,0,8,16,48,3,9,3
2022-12-01,1,4,0,0,0,19,0,0,0,7,0,0,3,1,19,15,0,0,0,5,13,38,3,6,0
2023-01-01,1,1,0,0,0,35,0,0,0,19,0,0,2,1,24,44,0,0,0,0,18,55,4,7,0
2023-02-01,2,2,0,0,0,13,0,0,0,0,0,0,1,1,21,19,0,0,0,6,10,41,0,7,0
2023-03-01,5,6,0,0,0,24,0,0,0,7,0,0,1,2,32,23,0,16,0,13,16,46,5,9,0
2023-04-01,3,6,0,0,0,12,0,0,5,0,0,0,1,1,30,22,0,5,0,9,13,40,4,6,0
2023-05-01,4,8,0,0,1,9,0,0,0,0,0,0,1,1,35,17,0,4,0,14,13,49,3,6,0
2023-06-01,3,7,0,0,1,10,0,0,0,0,0,0,1,1,30,16,0,0,0,7,14,50,4,8,4
2023-07-01,2,3,0,0,0,9,0,0,0,0,0,0,1,0,23,13,0,0,0,5,12,45,4,7,0
2023-08-01,3,5,0,0,0,55,0,0,0,0,0,0,1,1,26,17,0,0,0,0,18,41,0,11,0
2023-09-01,2,6,0,0,0,13,0,0,0,0,0,0,1,1,28,17,0,0,0,8,37,42,3,6,0
