date,stress_sum,stress_mean,article_count,stress_articles,financial_terms,stress_terms,negative_terms,sources,fsi_raw,fsi_proportion,news_fsi
2021-07-12,0.0,0.0,3,0,0,1,1,folha,0.0,0.0,0.0
2021-07-19,1.0,0.125,8,1,3,0,3,folha,0.125,0.125,0.051031036307982884
2021-07-26,10.974691494688162,0.5776153418256927,19,7,17,5,9,folha,0.5776153418256927,0.3684210526315789,0.23581047584603895
2021-08-02,15.732050807568877,0.5826685484284769,27,8,37,5,7,folha,0.5826685484284769,0.2962962962962963,0.2378734388029863
2021-08-09,14.803118619434352,0.5482636525716427,27,9,23,8,10,folha,0.5482636525716427,0.3333333333333333,0.22382769888584647
2021-08-16,14.009967675098245,0.48310233362407745,29,9,25,7,12,folha,0.48310233362407745,0.3103448275862069,0.19722570182113244
2021-08-23,9.692130429902463,0.3727742473039409,26,5,16,6,5,"folha, g1",0.3727742473039409,0.19230769230769232,0.15218444919078716
2021-08-30,7.414213562373095,0.5295866830266497,14,6,10,2,5,folha,0.5295866830266497,0.42857142857142855,0.21620285799805744
2021-09-06,11.327804920294028,0.4719918716789178,24,7,23,7,9,"folha, g1",0.4719918716789178,0.2916666666666667,0.19268987472575722
2021-09-13,13.949382989376325,0.46497943297921085,30,9,27,5,11,"folha, g1",0.46497943297921085,0.3,0.1898270586146192
2021-09-20,15.166308865713244,0.30332617731426487,50,9,32,15,18,folha,0.30332617731426487,0.18,0.12383239334148723
2021-09-27,15.106343992275558,0.5209084135267434,29,10,23,14,11,folha,0.5209084135267434,0.3448275862068966,0.21265996931053605
2021-10-04,11.838394799844435,0.25735640869227033,46,7,38,14,9,"folha, g1",0.25735640869227033,0.15217391304347827,0.10506531388853863
2021-10-11,16.02797451293157,0.5724276611761275,28,7,25,10,7,"g1, folha",0.5724276611761275,0.25,0.2336926140893815
2021-10-18,30.97859838062396,0.7375856757291419,42,19,50,8,20,folha,0.7375856757291419,0.4523809523809524,0.3011180911870554
2021-10-25,22.781209902474522,0.47460853963488586,48,12,56,9,23,folha,0.47460853963488586,0.25,0.19375812494549274
2021-11-01,31.72667765245353,0.43461202263634974,73,18,51,20,27,folha,0.43461202263634974,0.2465753424657534,0.17742961525633152
2021-11-08,49.30781989282411,0.4980587867962031,99,30,80,32,22,folha,0.4980587867962031,0.30303030303030304,0.20333164826005556
2021-11-15,29.291794959151673,0.3755358328096368,78,18,60,16,27,"folha, g1",0.3755358328096368,0.23076923076923078,0.1533118617524573
2021-11-22,17.384260859804925,0.19103583362422996,91,11,68,15,23,folha,0.19103583362422996,0.12087912087912088,0.07799005249443085
2021-11-29,42.76246928390892,0.44085019880318477,97,29,68,33,22,"folha, g1",0.44085019880318477,0.29896907216494845,0.17997634001205434
2021-12-06,19.570445607413312,0.21989264727430688,89,12,100,9,18,folha,0.21989264727430688,0.1348314606741573,0.08977079733530902
2021-12-13,27.444116587667832,0.2829290369862663,97,18,82,11,29,"folha, valor",0.2829290369862663,0.18556701030927836,0.11550529567223031
